Serial No,Category,Name,Specification,Link
11,Handbags,Women's Vegan Leather Helena Handbags Shoulder Hobo Bag Ladies Purse (Large),,https://www.amazon.in/Fostelo-Helena-Womens-Handbag-Tan/dp/B07CF4H2JX/ref=sr_1_14?crid=1Q8SEMBUMIYEJ&dib=eyJ2IjoiMSJ9.NeeTpXwePZgcV2Qb_7Tbgl8UFaWpKJjmvll3WhigW3h80pImiiihVgMaB88wOXtCoVU7hxHIq3maFMf-VAhd3_hGJOmaKPvdHm1YsgzZSC61rXjT1SaSyWqBOiT4-M8kvbxgci9os82iyPr0AC6csnjv6w5ucrAVR-MLw_-NsUlWGo2VS5TpXQ5Is23i07ABTYtuHOX2aU0fKahS6th-ZXoMjbxJSILkUVtmfYui79iPfjYakPnILd7pl2132KPPtC0h4eEtTQQE95Cf0waouKLUShjfK3hbLr78sMHHWR8.cretEfLz5lpT94INt1fa4Q-0SqIWvv5_WYkH5JlbRYI&dib_tag=se&keywords=Handbags&qid=1724258768&sprefix=%2Caps%2C181&sr=8-14
12,Handbags,Textured Tote bag,,https://www.amazon.in/LEGAL-BRIBE-Textured-Tote-Beige/dp/B0CP84GDFW/ref=sr_1_15?crid=1Q8SEMBUMIYEJ&dib=eyJ2IjoiMSJ9.NeeTpXwePZgcV2Qb_7Tbgl8UFaWpKJjmvll3WhigW3h80pImiiihVgMaB88wOXtCoVU7hxHIq3maFMf-VAhd3_hGJOmaKPvdHm1YsgzZSC61rXjT1SaSyWqBOiT4-M8kvbxgci9os82iyPr0AC6csnjv6w5ucrAVR-MLw_-NsUlWGo2VS5TpXQ5Is23i07ABTYtuHOX2aU0fKahS6th-ZXoMjbxJSILkUVtmfYui79iPfjYakPnILd7pl2132KPPtC0h4eEtTQQE95Cf0waouKLUShjfK3hbLr78sMHHWR8.cretEfLz5lpT94INt1fa4Q-0SqIWvv5_WYkH5JlbRYI&dib_tag=se&keywords=Handbags&qid=1724258768&sprefix=%2Caps%2C181&sr=8-15
13,Handbags,Large Capacity Croco Pattern Tote Bags For Womens Big Purses And Handbags Ladies Big Shoulder Bag From ( Brown ),,https://www.amazon.in/Carrylux-Capacity-Pattern-handbags-Shoulder/dp/B0BJ7NFTB8/ref=sr_1_16?crid=1Q8SEMBUMIYEJ&dib=eyJ2IjoiMSJ9.NeeTpXwePZgcV2Qb_7Tbgl8UFaWpKJjmvll3WhigW3h80pImiiihVgMaB88wOXtCoVU7hxHIq3maFMf-VAhd3_hGJOmaKPvdHm1YsgzZSC61rXjT1SaSyWqBOiT4-M8kvbxgci9os82iyPr0AC6csnjv6w5ucrAVR-MLw_-NsUlWGo2VS5TpXQ5Is23i07ABTYtuHOX2aU0fKahS6th-ZXoMjbxJSILkUVtmfYui79iPfjYakPnILd7pl2132KPPtC0h4eEtTQQE95Cf0waouKLUShjfK3hbLr78sMHHWR8.cretEfLz5lpT94INt1fa4Q-0SqIWvv5_WYkH5JlbRYI&dib_tag=se&keywords=Handbags&qid=1724258768&sprefix=%2Caps%2C181&sr=8-16
14,Handbags,PU Synthetic Leather Women's Satchel Bag | Ladies Purse Handbag,,https://www.amazon.in/YOYOWING-Synthetic-Leather-Satchel-shoulder/dp/B0BLKHWGK9/ref=sr_1_17?crid=1Q8SEMBUMIYEJ&dib=eyJ2IjoiMSJ9.NeeTpXwePZgcV2Qb_7Tbgl8UFaWpKJjmvll3WhigW3h80pImiiihVgMaB88wOXtCoVU7hxHIq3maFMf-VAhd3_hGJOmaKPvdHm1YsgzZSC61rXjT1SaSyWqBOiT4-M8kvbxgci9os82iyPr0AC6csnjv6w5ucrAVR-MLw_-NsUlWGo2VS5TpXQ5Is23i07ABTYtuHOX2aU0fKahS6th-ZXoMjbxJSILkUVtmfYui79iPfjYakPnILd7pl2132KPPtC0h4eEtTQQE95Cf0waouKLUShjfK3hbLr78sMHHWR8.cretEfLz5lpT94INt1fa4Q-0SqIWvv5_WYkH5JlbRYI&dib_tag=se&keywords=Handbags&qid=1724258768&sprefix=%2Caps%2C181&sr=8-17
15,Handbags,Women's Betula Medium Tote Bag | Ladies Purse Handbag,,https://www.amazon.in/Lavie-Betula-Womens-Tote-Ocher/dp/B07L583VBG/ref=sr_1_18?crid=1Q8SEMBUMIYEJ&dib=eyJ2IjoiMSJ9.NeeTpXwePZgcV2Qb_7Tbgl8UFaWpKJjmvll3WhigW3h80pImiiihVgMaB88wOXtCoVU7hxHIq3maFMf-VAhd3_hGJOmaKPvdHm1YsgzZSC61rXjT1SaSyWqBOiT4-M8kvbxgci9os82iyPr0AC6csnjv6w5ucrAVR-MLw_-NsUlWGo2VS5TpXQ5Is23i07ABTYtuHOX2aU0fKahS6th-ZXoMjbxJSILkUVtmfYui79iPfjYakPnILd7pl2132KPPtC0h4eEtTQQE95Cf0waouKLUShjfK3hbLr78sMHHWR8.cretEfLz5lpT94INt1fa4Q-0SqIWvv5_WYkH5JlbRYI&dib_tag=se&keywords=Handbags&qid=1724258768&sprefix=%2Caps%2C181&sr=8-18
16,Handbags,Fortify Style Leatherette Latest Handbags For Women's Ladies Combo Of 2,,https://www.amazon.in/Fortify-Leatherette-Latest-Handbags-Womens/dp/B0D94TT39J/ref=sr_1_19?crid=1Q8SEMBUMIYEJ&dib=eyJ2IjoiMSJ9.NeeTpXwePZgcV2Qb_7Tbgl8UFaWpKJjmvll3WhigW3h80pImiiihVgMaB88wOXtCoVU7hxHIq3maFMf-VAhd3_hGJOmaKPvdHm1YsgzZSC61rXjT1SaSyWqBOiT4-M8kvbxgci9os82iyPr0AC6csnjv6w5ucrAVR-MLw_-NsUlWGo2VS5TpXQ5Is23i07ABTYtuHOX2aU0fKahS6th-ZXoMjbxJSILkUVtmfYui79iPfjYakPnILd7pl2132KPPtC0h4eEtTQQE95Cf0waouKLUShjfK3hbLr78sMHHWR8.cretEfLz5lpT94INt1fa4Q-0SqIWvv5_WYkH5JlbRYI&dib_tag=se&keywords=Handbags&qid=1724258768&sprefix=%2Caps%2C181&sr=8-19
17,Handbags,shoulder bags for women small| handbags for women stylish | women bags handbags | Latest sling bag,,https://www.amazon.in/ALNA-shoulder-handbags-stylish-bag-Tan/dp/B0D3HQ825M/ref=sr_1_20?crid=1Q8SEMBUMIYEJ&dib=eyJ2IjoiMSJ9.NeeTpXwePZgcV2Qb_7Tbgl8UFaWpKJjmvll3WhigW3h80pImiiihVgMaB88wOXtCoVU7hxHIq3maFMf-VAhd3_hGJOmaKPvdHm1YsgzZSC61rXjT1SaSyWqBOiT4-M8kvbxgci9os82iyPr0AC6csnjv6w5ucrAVR-MLw_-NsUlWGo2VS5TpXQ5Is23i07ABTYtuHOX2aU0fKahS6th-ZXoMjbxJSILkUVtmfYui79iPfjYakPnILd7pl2132KPPtC0h4eEtTQQE95Cf0waouKLUShjfK3hbLr78sMHHWR8.cretEfLz5lpT94INt1fa4Q-0SqIWvv5_WYkH5JlbRYI&dib_tag=se&keywords=Handbags&qid=1724258768&sprefix=%2Caps%2C181&sr=8-20
18,Handbags,Women's Handbag Shoulder Bag,,https://www.amazon.in/Fristo-FRB-387-Green-Women-Handbag/dp/B084VTSLM1/ref=sr_1_25?crid=1Q8SEMBUMIYEJ&dib=eyJ2IjoiMSJ9.NeeTpXwePZgcV2Qb_7Tbgl8UFaWpKJjmvll3WhigW3h80pImiiihVgMaB88wOXtCoVU7hxHIq3maFMf-VAhd3_hGJOmaKPvdHm1YsgzZSC61rXjT1SaSyWqBOiT4-M8kvbxgci9os82iyPr0AC6csnjv6w5ucrAVR-MLw_-NsUlWGo2VS5TpXQ5Is23i07ABTYtuHOX2aU0fKahS6th-ZXoMjbxJSILkUVtmfYui79iPfjYakPnILd7pl2132KPPtC0h4eEtTQQE95Cf0waouKLUShjfK3hbLr78sMHHWR8.cretEfLz5lpT94INt1fa4Q-0SqIWvv5_WYkH5JlbRYI&dib_tag=se&keywords=Handbags&qid=1724258768&sprefix=%2Caps%2C181&sr=8-25
19,Handbags,Women's Handbag,,https://www.amazon.in/Speed-Fashion-Womens-Handbag-Green/dp/B09GNQ7C42/ref=sr_1_26?crid=1Q8SEMBUMIYEJ&dib=eyJ2IjoiMSJ9.NeeTpXwePZgcV2Qb_7Tbgl8UFaWpKJjmvll3WhigW3h80pImiiihVgMaB88wOXtCoVU7hxHIq3maFMf-VAhd3_hGJOmaKPvdHm1YsgzZSC61rXjT1SaSyWqBOiT4-M8kvbxgci9os82iyPr0AC6csnjv6w5ucrAVR-MLw_-NsUlWGo2VS5TpXQ5Is23i07ABTYtuHOX2aU0fKahS6th-ZXoMjbxJSILkUVtmfYui79iPfjYakPnILd7pl2132KPPtC0h4eEtTQQE95Cf0waouKLUShjfK3hbLr78sMHHWR8.cretEfLz5lpT94INt1fa4Q-0SqIWvv5_WYkH5JlbRYI&dib_tag=se&keywords=Handbags&qid=1724258768&sprefix=%2Caps%2C181&sr=8-26
20,Handbags,Women Hobo Sling Bag Small Size | Ladies Stylish Casual Cross Body Purse Handbag,,https://www.amazon.in/Baggit-Womens-Hobo-Handbag-Green/dp/B097C2T2DS/ref=sr_1_27?crid=1Q8SEMBUMIYEJ&dib=eyJ2IjoiMSJ9.NeeTpXwePZgcV2Qb_7Tbgl8UFaWpKJjmvll3WhigW3h80pImiiihVgMaB88wOXtCoVU7hxHIq3maFMf-VAhd3_hGJOmaKPvdHm1YsgzZSC61rXjT1SaSyWqBOiT4-M8kvbxgci9os82iyPr0AC6csnjv6w5ucrAVR-MLw_-NsUlWGo2VS5TpXQ5Is23i07ABTYtuHOX2aU0fKahS6th-ZXoMjbxJSILkUVtmfYui79iPfjYakPnILd7pl2132KPPtC0h4eEtTQQE95Cf0waouKLUShjfK3hbLr78sMHHWR8.cretEfLz5lpT94INt1fa4Q-0SqIWvv5_WYkH5JlbRYI&dib_tag=se&keywords=Handbags&qid=1724258768&sprefix=%2Caps%2C181&sr=8-27
21,Handbags,Dual Tone Large Capacity Croco Pattern Tote Handbags Purses Shoulder Bag For Womens,,https://www.amazon.in/Carrylux-Capacity-Handbags-Shoulder-Chocolate/dp/B0C8DFGD78/ref=sr_1_28?crid=1Q8SEMBUMIYEJ&dib=eyJ2IjoiMSJ9.NeeTpXwePZgcV2Qb_7Tbgl8UFaWpKJjmvll3WhigW3h80pImiiihVgMaB88wOXtCoVU7hxHIq3maFMf-VAhd3_hGJOmaKPvdHm1YsgzZSC61rXjT1SaSyWqBOiT4-M8kvbxgci9os82iyPr0AC6csnjv6w5ucrAVR-MLw_-NsUlWGo2VS5TpXQ5Is23i07ABTYtuHOX2aU0fKahS6th-ZXoMjbxJSILkUVtmfYui79iPfjYakPnILd7pl2132KPPtC0h4eEtTQQE95Cf0waouKLUShjfK3hbLr78sMHHWR8.cretEfLz5lpT94INt1fa4Q-0SqIWvv5_WYkH5JlbRYI&dib_tag=se&keywords=Handbags&qid=1724258768&sprefix=%2Caps%2C181&sr=8-28
